ID, ID2, Geo_FIPS, Geo_Qname, DN
3077661, CHE, CHE, Switzerland, CHE
3077662, CHE, CHE, Switzerland, CHE
3077663, CHE, CHE, Switzerland, CHE
3077664, CHE, CHE, Switzerland, CHE
3077665, CHE, CHE, Switzerland, CHE
3077666, CHL, CHL, Chile, CHL
3077667, CHL, CHL, Chile, CHL
3077668, CHL, CHL, Chile, CHL
3077669, CHL, CHL, Chile, CHL
3077670, CHL, CHL, Chile, CHL
3077671, CHL, CHL, Chile, CHL
3077672, CHL, CHL, Chile, CHL
3077673, CHL, CHL, Chile, CHL
3077674, CHL, CHL, Chile, CHL
3077675, CHL, CHL, Chile, CHL
3077676, CHL, CHL, Chile, CHL
3077677, CHL, CHL, Chile, CHL
3077678, CHL, CHL, Chile, CHL
3077680, CHN, CHN, China, CHN
3077682, CHN, CHN, China, CHN
3077686, CHN, CHN, China, CHN
3077687, CHN, CHN, China, CHN
3077693, CHN, CHN, China, CHN
3077694, CHN, CHN, China, CHN
