"id","country","city","name","state","zipcode","date","gname","gaddress","website"
"77","usa","cedar bluff","vccs - southwest va cc","va","24609-9364","8/23/2017","Southwest Virginia Community College","724 Community College Rd, Cedar Bluff, VA 24609, USA","http://www.sw.edu/"
"78","usa","winona","winona state univ","mn","559875838","8/23/2017","Winona State University","175 W Mark St, Winona, MN 55987, USA","http://www.winona.edu/"
"79","usa","norfolk","northeast community college","ne","68701-6831","8/23/2017","Northeast Community College","801 E Benjamin Ave, Norfolk, NE 68701, USA","http://www.northeast.edu/"
"80","usa","cincinnati","university of cincinnati","oh","45221-0001","8/23/2017","University of Cincinnati","2600 Clifton Ave, Cincinnati, OH 45220, USA","http://www.uc.edu/"
"81","usa","huntsville","sam houston state univ","tx","77340","8/23/2017","Sam Houston State University","1905 University Ave, Huntsville, TX 77340, USA","http://www.shsu.edu/"
"82","usa","salem","corban university","or","97317-9392","8/23/2017","Corban University","5000 Deer Park Dr SE, Salem, OR 97317, USA","http://www.corban.edu/"
"83","usa","so holland","south suburban college","il","60473","8/23/2017","South Suburban College","15800 State St, South Holland, IL 60473, USA","http://www.ssc.edu/"
"84","usa","memphis","rhodes college","tn","38112-1624","8/23/2017","Rhodes College","2000 North Pkwy, Memphis, TN 38112, USA","http://www.rhodes.edu/"
"85","usa","bowling green","bowling green state univ","oh","43403","8/23/2017","Bowling Green State University","Bowling Green, OH 43403, USA","http://www.bgsu.edu/"
"86","usa","center valley","de sales university","pa","18034-9565","8/23/2017","DeSales University","2755 Station Ave, Center Valley, PA 18034, USA","http://www.desales.edu/"
"87","usa","glen ellyn","college of dupage","il","60137-6708","8/23/2017","College of DuPage","425 Fawell Blvd, Glen Ellyn, IL 60137, USA","http://www.cod.edu/"
"88","usa","rock hill","winthrop university","sc","29733-7001","8/23/2017","Winthrop University","701 Oakland Ave, Rock Hill, SC 29733, USA","http://www.winthrop.edu/virtualtour/buildingtour.aspx?id=8210"
"89","usa","clinton","presbyterian college","sc","29325-2865","8/23/2017","Presbyterian College","503 S Broad St, Clinton, SC 29325, USA","http://www.presby.edu/"
"90","usa","bethlehem","northampton cmty coll","pa","18020-7568","8/23/2017","Northampton Community College","3835 Green Pond Rd, Bethlehem, PA 18020, USA","http://www.northampton.edu/"
"91","usa","tuscaloosa","univ of ala-tuscaloosa","al","35487","8/23/2017","The University of Alabama","Tuscaloosa, AL 35487, USA","http://www.ua.edu/"
"92","usa","south charleston","bridgevalley ctc","wv","25303","8/23/2017","BridgeValley Community and Technical College","2001 Union Carbide Drive, South Charleston, WV 25303, USA","http://www.bridgevalley.edu/"
"93","usa","gainesville","university of florida","fl","32611","8/23/2017","University of Florida","Gainesville, FL 32611, USA","http://www.ufl.edu/"
"94","usa","columbia","univ of missouri-columbia","mo","65211","8/23/2017","University of Missouri","Columbia, MO 65211, USA","http://missouri.edu/"
"95","usa","leesburg","lake sumter state college","fl","34788-3950","8/23/2017","Lake-Sumter State College","9501 US-441, Leesburg, FL 34788, USA","http://www.lssc.edu/"
"96","usa","pleasant hill","diablo valley college","ca","94523","8/23/2017","Diablo Valley College","321 Golf Club Rd, Pleasant Hill, CA 94523, USA","http://www.dvc.edu/"
"97","usa","wichita","wichita state university","ks","67260-9700","8/23/2017","The Graduate School Wichita State University","1845 Fairmount St, Wichita, KS 67260, USA","http://www.wichita.edu/thisis/academics/graduate/"
"98","usa","fayetteville","u of arkansas-fayetteville","ar","72701","8/23/2017","University of Arkansas","Fayetteville, AR 72701, USA","http://www.uark.edu/"
"99","usa","neosho","crowder college","mo","64850-9165","8/23/2017","Crowder College","601 Laclede Ave, Neosho, MO 64850, USA","http://www.crowder.edu/"
"100","usa","greenwood","lander university","sc","29649-2056","8/23/2017","Lander University","320 Stanley Ave, Greenwood, SC 29649, USA","http://www.lander.edu/"
"101","usa","curtis","university of nebraska","ne","69025-9525","8/23/2017","Nebraska College of Technical Agriculture","404 E 7th St, Curtis, NE 69025, USA","http://ncta.unl.edu/"
"102","usa","waleska","reinhardt college","ga","30183-2981","8/23/2017","Reinhardt University","7300 Reinhardt College Cir, Waleska, GA 30183, USA","http://www.reinhardt.edu/"
"103","usa","decatur","east central community coll","ms","39327-8985","8/23/2017","East Central Community College","275 W Broad St, Decatur, MS 39327, USA","http://www.eccc.edu/"
