ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
3077289,ARM,Armenia,RUS,Russia,,,,
3077290,ARM,Armenia,RUS,Russia,,,,
3077291,ARM,Armenia,RUS,Russia,,,,
3077292,ARM,Armenia,RUS,Russia,,,,
3077293,ARM,Armenia,RUS,Russia,,,,
3077294,ARM,Armenia,RUS,Russia,,,,
3077295,ARM,Armenia,RUS,Russia,,,,
3077296,ASM,American Samoa,ASM,American Samoa,,,,
3077297,ASM,American Samoa,ASM,American Samoa,,,,
3077298,ASM,American Samoa,ASM,American Samoa,,,,
3077299,ASM,American Samoa,ASM,American Samoa,,,,
3077300,ATF,French Southern Territories,ATF,French Southern Territories,,,,
3077301,ATF,French Southern Territories,ATF,French Southern Territories,,,,
3077302,ATF,French Southern Territories,ATF,French Southern Territories,,,,
3077303,ATF,French Southern Territories,ATF,French Southern Territories,,,,
3077304,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077305,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077306,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077307,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077308,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077309,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077310,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077311,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,,,,
3077312,AUS,Australia,AUS,Australia,,,,
3077313,AUS,Australia,AUS,Australia,,,,
3077314,AUS,Australia,AUS,Australia,,,,
3077316,AUS,Australia,AUS,Australia,,,,
3077317,AUS,Australia,AUS,Australia,,,,
3077319,AUS,Australia,AUS,Australia,,,,
3077320,AUS,Australia,AUS,Australia,,,,
3077322,AUS,Australia,AUS,Australia,,,,
3077323,AUT,Austria,AUH,Austria-Hungary,,,,
3077324,AUT,Austria,AUH,Austria-Hungary,,,,
3077325,AUT,Austria,AUH,Austria-Hungary,,,,
3077326,AUT,Austria,AUH,Austria-Hungary,,,,
3077327,AUT,Austria,AUH,Austria-Hungary,,,,
3077328,AUT,Austria,AUH,Austria-Hungary,,,,
3077329,AZE,Azerbaijan,RUS,Russia,,,,
3077330,AZE,Azerbaijan,RUS,Russia,,,,
3077331,AZE,Azerbaijan,RUS,Russia,,,,
3077332,AZE,Azerbaijan,RUS,Russia,,,,
3077333,AZE,Azerbaijan,RUS,Russia,,,,
3077334,AZE,Azerbaijan,RUS,Russia,,,,
3077335,AZE,Azerbaijan,RUS,Russia,,,,
3077336,AZE,Azerbaijan,RUS,Russia,,,,
3077337,AZE,Azerbaijan,RUS,Russia,,,,
3077338,AZE,Azerbaijan,RUS,Russia,,,,
3077339,AZE,Azerbaijan,RUS,Russia,,,,
3077340,AZE,Azerbaijan,RUS,Russia,,,,
3077341,AZE,Azerbaijan,RUS,Russia,,,,
3077342,AZE,Azerbaijan,RUS,Russia,,,,
3077343,AZE,Azerbaijan,RUS,Russia,,,,
3077344,AZE,Azerbaijan,RUS,Russia,,,,
3077345,AZE,Azerbaijan,RUS,Russia,,,,
3077346,AZE,Azerbaijan,RUS,Russia,,,,
