id,country,city,name,institution_stat,zipcode,date
414,usa,rockville,montgomery coll-rockville,md,20855-2811,2/10/2015
415,usa,york,hacc york,pa,17404,2/10/2015
416,usa,houston,univ of houston-downtown,tx,77002,2/10/2015
417,usa,austin,univ of texas - austin,tx,78712,2/10/2015
418,usa,baltimore,maryland inst coll of art,md,21217-4134,2/10/2015
419,usa,saint petersburg,st petersburg coll-st pete/gib,fl,33710-6801,2/10/2015
420,usa,san diego,san diego state university,ca,92182,2/10/2015
421,usa,san diego,san diego mesa college,ca,92111,2/11/2015
422,usa,irvine,irvine valley college,ca,92618,2/11/2015
423,usa,menifee,mt san jacinto coll - menifee,ca,92584,2/11/2015
424,usa,san marcos,palomar college,ca,92069,2/11/2015
425,usa,new york,new york university,ny,10012,2/11/2015
426,usa,oregon city,clackamas community college,or,97045,2/11/2015
427,usa,baltimore,university of maryland-baltimore cty,md,21250-0001,2/11/2015
428,usa,alice,coastal bend coll/alice cmp,tx,78332,2/11/2015
429,usa,portsmouth,tidewater cc-portsmouth,va,23701,2/11/2015
430,usa,flagstaff,northern arizona university,az,86011,2/11/2015
431,usa,holyoke,holyoke comm coll,ma,01040-1091,2/11/2015
