instituion_city,institution_name,institution_state,institution_zipcode,transaction_date
moreno valley,moreno valley college,ca,92551-2045,2/20/2015
ft wayne,univeristy of st francis,in,46807,2/21/2015
bayside,queensborough cc of cuny,ny,11364,2/22/2015
new york,fashion institute of tech,ny,10001,2/22/2015
rockford,rock valley college,il,61114-5640,2/22/2015
tucson,pima cc northwest,az,85709,2/23/2015
walnut,mount san antonio college,ca,91789,2/23/2015
villanova,villanova university,pa,19085-1603,2/23/2015
pearl city,leeward community college,hi,96782,2/24/2015
forest grove,pacific university,or,97116,2/24/2015
oakdale,dowling college,ny,11769-1906,2/24/2015
edinburg,univ of texas - pan american,tx,785412999,2/25/2015
santa rosa,santa rosa junior college,ca,95401,2/25/2015
nacogdoches,stephen f austin state univ,tx,75961,2/25/2015
rohnert park,sonoma state university,ca,94928,2/26/2015
valparaiso,valparaiso university,in,46383,2/27/2015
columbus,sales associates,oh,43235,3/1/2015
santa monica,santa monica college,ca,90405,3/4/2015
west plains,missouri st u-west plain,mo,65775-2715,3/4/2015
san francisco,golden gate univ-san francisco,ca,94105,3/4/2015
petaluma,santa rosa jr college,ca,94954,3/4/2015
chicago,loyola - chicago,il,60660,3/5/2015
naples,fl southwestern st coll - naples,fl,34113-8976,3/6/2015
batavia,genesee cc batavia,ny,14020,3/8/2015
scottsdale,scottsdale cmty college,az,85256,3/10/2015
grants,new mexico st u-grants,nm,87020,3/10/2015
laredo,laredo community college,tx,78040,11/8/2016
gainesville,brenau university,ga,30501,11/8/2016
new britain,central conn state univ,ct,06050-2439,11/8/2016
east stroudsburg,east stroudsburg university,pa,18301-2956,11/8/2016
knoxville,pellissippi st cmty coll,tn,37932,11/8/2016
jacksonville,fl st coll - jacksonville deerwood,fl,32256-8102,11/8/2016
westminster,mcdaniel college,md,21157-4303,11/8/2016
midland,midland college,tx,79705,11/8/2016
fountain valley,coastline cmty coll,ca,92708,11/8/2016
albuquerque,central new mexico comm coll,nm,87106,11/8/2016
sacramento,sacramento city college,ca,95822,11/8/2016
bend,central oregon cmty college,or,97701,11/8/2016
allendale,gvsu - allendale,mi,49401-9401,11/8/2016
grand rapids,grand rapids cmty coll,mi,49503,11/8/2016
fond du lac,moraine park tech coll,wi,54935-2884,11/8/2016
fort yates,sitting bull college,nd,58538-9721,11/8/2016
buffalo,university at buffalo,ny,14260-1660,11/8/2016
chicago,harold washington college,il,60601-2408,11/8/2016
wichita falls,midwestern state university,tx,76308,11/8/2016
midwest city,rose state college,ok,73110,11/8/2016
campbellsville,campbellsville universtiy,ky,42718-2190,11/8/2016
irving,north lake college,tx,75038,11/8/2016
collegedale,southern adventist univ,tn,37315,11/8/2016
wilkesboro,wilkes community college,nc,28697-2102,11/8/2016
paris,paris jr coll-paris,tx,75460,11/8/2016
new olreans,delta intl univ of new orleans,la,70170,11/8/2016
evanston,northwestern university,il,60208-0873,11/8/2016
troy,hudson valley community col,ny,12180-6037,11/8/2016
selden,suffolk county cc (ammerman),ny,11784-2851,11/8/2016
provo,brigham young univ-provo,ut,84602,11/8/2016
san diego,western american university,ca,92108,11/8/2016
manchester,manchester community college,nh,03102-8528,11/8/2016
reno,univ of nevada sch medicine,nv,89557,11/8/2016
bloomsburg,bloomsburg university,pa,17815-1301,11/8/2016
fremont,ohlone college,ca,94539,11/8/2016
